Date,Gold_$,Silver_$,INR_$,Gold_RTGS_24K,Gold_Board_22K,Silver_Board
2024-08-24,2620.55,31.18,83.498,7660.0,6695,93.0
2024-08-25,2620.55,31.18,83.498,7660.0,6695,93.0
2024-08-26,2620.55,31.18,83.498,7660.0,6695,93.0
2024-08-27,2620.55,31.18,83.498,7660.0,6695,93.5
2024-08-28,2620.55,31.18,83.498,7660.0,6715,93.5
2024-08-29,2620.55,31.18,83.498,7660.0,6715,93.5
2024-08-30,2620.55,31.18,83.498,7660.0,6705,93.0
2024-08-31,2620.55,31.18,83.498,7660.0,6695,92.0
2024-09-01,2620.55,31.18,83.498,7660.0,6670,91.0
2024-09-02,2620.55,31.18,83.498,7660.0,6670,91.0
2024-09-03,2620.55,31.18,83.498,7660.0,6670,90.0
2024-09-04,2620.55,31.18,83.498,7660.0,6670,90.0
2024-09-05,2620.55,31.18,83.498,7660.0,6670,90.0
2024-09-06,2620.55,31.18,83.498,7660.0,6720,92.0
2024-09-07,2620.55,31.18,83.498,7660.0,6680,89.5
2024-09-09,2620.55,31.18,83.498,7660.0,6680,90.0
2024-09-10,2620.55,31.18,83.498,7660.0,6680,91.0
2024-09-11,2620.55,31.18,83.498,7660.0,6715,91.5
2024-09-12,2620.55,31.18,83.498,7660.0,6705,91.5
2024-09-13,2620.55,31.18,83.498,7660.0,6825,95.0
2024-09-14,2620.55,31.18,83.498,7660.0,6865,97.0
2024-09-15,2620.55,31.18,83.498,7660.0,6865,97.0
2024-09-16,2620.55,31.18,83.498,7660.0,6880,98.0
2024-09-17,2620.55,31.18,83.498,7660.0,6865,97.0
2024-09-18,2620.55,31.18,83.498,7660.0,6850,96.0
2024-09-19,2620.55,31.18,83.498,7660.0,6825,96.0
2024-09-20,2620.55,31.18,83.498,7660.0,6885,97.5
2024-09-21,2620.55,31.18,83.498,7660.0,6960,98.0
2024-09-22,2620.55,31.18,83.498,7660.0,6960,98.0
2024-09-23,2629.9,31.12,83.5,7686.0,6980,98.0
2024-09-24,2636.5,31.06,83.583,7705.0,7000,98.0
2024-09-25,2659.6,31.9,83.533,7516.5,7060,101.0
2024-09-26,2662.55,31.96,83.685,7774.0,7060,101.0
2024-09-27,2671.35,31.93,83.64,7817.0,7100,102.0
2024-09-28,2652.9,31.63,83.74,7805.0,7095,101.0
2024-09-29,2652.9,31.63,83.748,7806.0,7095,101.0
2024-09-30,2655.15,31.58,83.79,7813.0,7080,101.0
2024-09-08,2655.15,31.58,83.79,7813.0,6680,90.0
2024-10-01,2639.0,31.37,83.82,7769.0,7050,101.0
2024-10-02,2654.3,31.21,84.0,7825.0,7100,101.0
2024-10-03,2656.55,31.65,83.94,7826.0,7110,101.0
2024-10-04,2666.7,32.27,83.97,7844.0,7120,103.0
2024-10-05,2651.65,32.22,84.0,7840.0,7120,103.0
2024-10-06,2651.65,32.22,84.0,7840.0,7100,103.0
2024-10-07,2642.2,31.88,83.97,7805.0,7100,103.0
