Qty,Buy Date,Buy Price,Buy Amount,Charges,Net Buy Amount,Latest Price,Latest Value,Gross P/L,Net P/L,
10,01-08-2024,59.09,590.9,0.61,591.51,72.51,725.1,134.2,133.59,
10,02-08-2024,59.67,596.7,0.62,597.32,72.51,725.1,128.4,127.78,
10,05-08-2024,58.74,587.4,0.61,588.01,72.51,725.1,137.7,137.09,
10,06-08-2024,58.62,586.2,0.61,586.81,72.51,725.1,138.9,138.29,
10,07-08-2024,58.2,582,0.6,582.6,72.51,725.1,143.1,142.5,
10,08-08-2024,58.09,580.9,0.6,581.5,72.51,725.1,144.2,143.6,
10,09-08-2024,58.66,586.6,0.61,587.21,72.51,725.1,138.5,137.89,
10,12-08-2024,59.02,590.2,0.61,590.81,72.51,725.1,134.9,134.29,
10,13-08-2024,59.4,594,0.61,594.61,72.51,725.1,131.1,130.49,
10,14-08-2024,59.61,596.1,0.62,596.72,72.51,725.1,129,128.38,
10,15-08-2024,59.47,594.7,0.61,595.31,72.51,725.1,130.4,129.79,
10,19-08-2024,60.34,603.4,0.62,604.02,72.51,725.1,121.7,121.08,
10,20-08-2024,60.67,606.7,0.63,607.33,72.51,725.1,118.4,117.77,
10,21-08-2024,60.38,603.8,0.62,604.42,72.51,725.1,121.3,120.68,
10,22-08-2024,60.45,604.5,0.62,605.12,72.51,725.1,120.6,119.98,
10,23-08-2024,60.25,602.5,0.62,603.12,72.51,725.1,122.6,121.98,
10,26-08-2024,60.83,608.3,0.63,608.93,72.51,725.1,116.8,116.17,
10,27-08-2024,60.55,605.5,0.63,606.13,72.51,725.1,119.6,118.97,
10,28-08-2024,60.55,605.5,0.63,606.13,72.51,725.1,119.6,118.97,
10,29-08-2024,60.57,605.7,0.63,606.33,72.51,725.1,119.4,118.77,
10,30-08-2024,60.66,606.6,0.63,607.23,72.51,725.1,118.5,117.87,
10,02-09-2024,60.25,602.5,0.62,603.12,72.51,725.1,122.6,121.98,
10,03-09-2024,60.36,603.6,0.62,604.22,72.51,725.1,121.5,120.88,
10,04-09-2024,59.83,598.3,0.62,598.92,72.51,725.1,126.8,126.18,
10,05-09-2024,60.55,605.5,0.63,606.13,72.51,725.1,119.6,118.97,
10,06-09-2024,60.66,606.6,0.63,607.23,72.51,725.1,118.5,117.87,
10,09-09-2024,60.16,601.6,0.62,602.22,72.51,725.1,123.5,122.88,
10,10-09-2024,60.36,603.6,0.62,604.22,72.51,725.1,121.5,120.88,
10,11-09-2024,60.71,607.1,0.63,607.73,72.51,725.1,118,117.37,
10,12-09-2024,60.61,606.1,0.63,606.73,72.51,725.1,119,118.37,
10,13-09-2024,61.64,616.4,0.64,617.04,72.51,725.1,108.7,108.06,
10,16-09-2024,62.05,620.5,0.64,621.14,72.51,725.1,104.6,103.96,
10,17-09-2024,61.77,617.7,0.64,618.34,72.51,725.1,107.4,106.76,
10,18-09-2024,61.68,616.8,0.64,617.44,72.51,725.1,108.3,107.66,
10,19-09-2024,62.19,621.9,0.64,622.54,72.51,725.1,103.2,102.56,
10,20-09-2024,62.43,624.3,0.64,624.94,72.51,725.1,100.8,100.16,
10,23-09-2024,62.81,628.1,0.65,628.75,72.51,725.1,97,96.35,
10,24-09-2024,62.99,629.9,0.65,630.55,72.51,725.1,95.2,94.55,
10,25-09-2024,63.66,636.6,0.66,637.26,72.51,725.1,88.5,87.84,
10,26-09-2024,63.77,637.7,0.66,638.36,72.51,725.1,87.4,86.74,
10,27-09-2024,63.48,634.8,0.65,635.45,72.51,725.1,90.3,89.65,
10,30-09-2024,63.55,635.5,0.66,636.16,72.51,725.1,89.6,88.94,
10,01-10-2024,63.59,635.9,0.66,636.56,72.51,725.1,89.2,88.54,
10,02-10-2024,63.69,636.9,0.66,637.56,72.51,725.1,88.2,87.54,
10,03-10-2024,63.69,636.9,0.66,637.56,72.51,725.1,88.2,87.54,
10,04-10-2024,63.99,639.9,0.66,640.56,72.51,725.1,85.2,84.54,
10,07-10-2024,63.81,638.1,0.66,638.76,72.51,725.1,87,86.34,
10,08-10-2024,63.45,634.5,0.65,635.15,72.51,725.1,90.6,89.95,
10,09-10-2024,63.02,630.2,0.65,630.85,72.51,725.1,94.9,94.25,
10,10-10-2024,63.01,630.1,0.65,630.75,72.51,725.1,95,94.35,
10,11-10-2024,63.54,635.4,0.66,636.06,72.51,725.1,89.7,89.04,
10,14-10-2024,63.98,639.8,0.66,640.46,72.51,725.1,85.3,84.64,
10,15-10-2024,63.86,638.6,0.66,639.26,72.51,725.1,86.5,85.84,
10,16-10-2024,64.44,644.4,0.66,645.06,72.51,725.1,80.7,80.04,
10,17-10-2024,64.44,644.4,0.66,645.06,72.51,725.1,80.7,80.04,
10,18-10-2024,65.18,651.8,0.67,652.47,72.51,725.1,73.3,72.63,
10,21-10-2024,65.79,657.9,0.68,658.58,72.51,725.1,67.2,66.52,
10,22-10-2024,65.73,657.3,0.68,657.98,72.51,725.1,67.8,67.12,
