Branch,Bill No,Bill_date,Maker,Category,Product,Design,Sub_Design,Size,Pcs,Gwt(Grams),Sales_Value,Age,Employee,Purchase Value,Weight Min,Weight Max,Profit Margin %,Revenue Per Gram,Product Performance
CNI,GL-00153,2024-04-08,A,22KT,G CHAIN,MACHINE MADE,MC CH,18.0,1.0,4.05,25049.86,216.0,RAJAPRIYA,22553.0,2.0,4.0,9.967560696946013,6185.150617283951,Slow Moving
CNI,GL-00159,2024-04-08,A,22KT,G CHAIN,MACHINE MADE,3 BAL KS,24.0,1.0,40.58,218750.04,7.0,MUTHUMATHI,205343.43,36.0,40.0,6.128734879317058,5390.5874815179895,Fast Moving
CNI,GL-00216,2024-04-10,A,22KT,G CHAIN,MACHINE MADE,MC RO,18.0,1.0,12.03,68750.2,10.0,ARUNACHALAM,3750.0,10.0,12.0,94.54547041317699,5714.896093100582,Fast Moving
CNI,GL-00237,2024-04-11,A,22KT,G CHAIN,MACHINE MADE,MC BO,18.0,1.0,23.94,129720.63,14.0,MANIKANDAN,124371.44,20.0,24.0,4.123623204728501,5418.5726817042605,Fast Moving
MDU,GL-00417,2024-04-14,J,22KT,G CHAIN,MACHINE MADE,KO C,24.0,1.0,39.44,229750.43,0.0,SELVAM,207175.04,36.0,40.0,9.826049074206297,5825.315162271805,Fast Moving
MDU,GL-00422,2024-04-14,A,22KT,G CHAIN,MACHINE MADE,MC KA,18.0,1.0,8.52,54454.06,17.0,RAVIKUMAR,46222.64,6.0,8.0,15.116264976385596,6391.321596244132,Fast Moving
CNI,GL-00349,2024-04-18,A,22KT,G CHAIN,MACHINE MADE,3 BAL K,24.0,1.0,24.15,133750.42,17.0,PRAKASH,123722.06,20.0,24.0,7.497815707793675,5538.319668737061,Fast Moving
CNI,GL-00460,2024-04-25,A,22KT,G CHAIN,MACHINE MADE,MC RO,18.0,1.0,8.0,47112.55,25.0,RAVIKUMAR,3750.0,6.0,8.0,92.0403374472407,5889.06875,Fast Moving
CNI,GL-00481,2024-04-27,D,22KT,G CHAIN,MACHINE MADE,MC CH,18.0,1.0,9.63,55460.77,179.0,VENKATESH,49558.0,8.0,10.0,10.643144694889733,5759.166147455866,Slow Moving
CNI,GL-00496,2024-04-27,A,22KT,G CHAIN,MACHINE MADE,MC DE,18.0,1.0,16.17,89638.08,369.0,RAJAPRIYA,79053.0,14.0,16.0,11.808686665310102,5543.480519480519,Slow Moving
